Day	Selection	Metric	Construct	Rep1	Rep2	Rep3	Notes
D1	Pre-selection	Live cell (%)	Original				
D1	Pre-selection	Live cell (%)	TOP1				
D1	Pre-selection	Live cell (%)	TOP2				
D1	Pre-selection	Live cell (%)	TOP3				
D1	Pre-selection	Live cell (%)	TOP4				
D1	Pre-selection	Live cell (%)	TOP5				
D1	Pre-selection	Live cell (%)	TOP6				
D1	Pre-selection	Live cell (%)	TOP7				
D1	Pre-selection	Live cell (%)	TOP8				
D1	Pre-selection	Live cell (%)	TOP9				
D1	Pre-selection	Live cell (%)	TOP10				
D1	Pre-selection	Live cell (%)	TOP11				
D1	Pre-selection	Live cell (%)	TOP12				
D1	Pre-selection	Live cell (%)	TOP13				
D1	Pre-selection	Live cell (%)	TOP14				
D1	Pre-selection	Live cell (%)	TOP15				
D1	Pre-selection	Live cell (%)	TOP16				
D1	Pre-selection	Live cell (%)	TOP17				
D1	Pre-selection	Live cell (%)	TOP18				
D1	Pre-selection	Live cell (%)	TOP19				
D1	Pre-selection	Live cell (%)	TOP20				
D1	Pre-selection	Live cell (%)	TOP21				
D1	Pre-selection	Live cell (%)	TOP22				
D1	Pre-selection	Live cell (%)	TOP23				
D1	Pre-selection	Live cell (%)	TOP24				
D1	Pre-selection	Live cell (%)	TOP25				
D1	Pre-selection	Live cell (%)	TOP26				
D1	Pre-selection	Live cell (%)	TOP27				
D1	Pre-selection	Live cell (%)	TOP28				
D1	Pre-selection	Live cell (%)	TOP29				
D1	Pre-selection	Live cell (%)	TOP30				
D1	Pre-selection	Live cell (%)	TOP31				
D3	Pre-selection	Live cell (%)	Original				
D3	Pre-selection	Live cell (%)	TOP1				
D3	Pre-selection	Live cell (%)	TOP2				
D3	Pre-selection	Live cell (%)	TOP3				
D3	Pre-selection	Live cell (%)	TOP4				
D3	Pre-selection	Live cell (%)	TOP5				
D3	Pre-selection	Live cell (%)	TOP6				
D3	Pre-selection	Live cell (%)	TOP7				
D3	Pre-selection	Live cell (%)	TOP8				
D3	Pre-selection	Live cell (%)	TOP9				
D3	Pre-selection	Live cell (%)	TOP10				
D3	Pre-selection	Live cell (%)	TOP11				
D3	Pre-selection	Live cell (%)	TOP12				
D3	Pre-selection	Live cell (%)	TOP13				
D3	Pre-selection	Live cell (%)	TOP14				
D3	Pre-selection	Live cell (%)	TOP15				
D3	Pre-selection	Live cell (%)	TOP16				
D3	Pre-selection	Live cell (%)	TOP17				
D3	Pre-selection	Live cell (%)	TOP18				
D3	Pre-selection	Live cell (%)	TOP19				
D3	Pre-selection	Live cell (%)	TOP20				
D3	Pre-selection	Live cell (%)	TOP21				
D3	Pre-selection	Live cell (%)	TOP22				
D3	Pre-selection	Live cell (%)	TOP23				
D3	Pre-selection	Live cell (%)	TOP24				
D3	Pre-selection	Live cell (%)	TOP25				
D3	Pre-selection	Live cell (%)	TOP26				
D3	Pre-selection	Live cell (%)	TOP27				
D3	Pre-selection	Live cell (%)	TOP28				
D3	Pre-selection	Live cell (%)	TOP29				
D3	Pre-selection	Live cell (%)	TOP30				
D3	Pre-selection	Live cell (%)	TOP31				
D7	w/o Selection	Live cell (%)	Original				
D7	w/o Selection	Live cell (%)	TOP1				
D7	w/o Selection	Live cell (%)	TOP2				
D7	w/o Selection	Live cell (%)	TOP3				
D7	w/o Selection	Live cell (%)	TOP4				
D7	w/o Selection	Live cell (%)	TOP5				
D7	w/o Selection	Live cell (%)	TOP6				
