Day,Condition,Acquisition_Date,Well,Sample_File,Live_Cell_Pct,GFP_Positive_Pct,GFP_GeoMean,Notes
D1,,,A1,A1.fcs,,,,
D1,,,A2,A2.fcs,,,,
D1,,,A3,A3.fcs,,,,
D1,,,A4,A4.fcs,,,,
D1,,,A5,A5.fcs,,,,
D1,,,A6,A6.fcs,,,,
D1,,,A7,A7.fcs,,,,
D1,,,A8,A8.fcs,,,,
D1,,,A9,A9.fcs,,,,
D1,,,A10,A10.fcs,,,,
D1,,,A11,A11.fcs,,,,
D1,,,A12,A12.fcs,,,,
D1,,,B1,B1.fcs,,,,
D1,,,B2,B2.fcs,,,,
D1,,,B3,B3.fcs,,,,
D1,,,B4,B4.fcs,,,,
D1,,,B5,B5.fcs,,,,
D1,,,B6,B6.fcs,,,,
D1,,,B7,B7.fcs,,,,
D1,,,B8,B8.fcs,,,,
D1,,,B9,B9.fcs,,,,
D1,,,B10,B10.fcs,,,,
D1,,,B11,B11.fcs,,,,
D1,,,B12,B12.fcs,,,,
D1,,,C1,C1.fcs,,,,
D1,,,C2,C2.fcs,,,,
D1,,,C3,C3.fcs,,,,
D1,,,C4,C4.fcs,,,,
D1,,,C5,C5.fcs,,,,
D1,,,C6,C6.fcs,,,,
D1,,,C7,C7.fcs,,,,
D1,,,C8,C8.fcs,,,,
D1,,,C9,C9.fcs,,,,
D1,,,C10,C10.fcs,,,,
D1,,,C11,C11.fcs,,,,
D1,,,C12,C12.fcs,,,,
D1,,,D1,D1.fcs,,,,
D1,,,D2,D2.fcs,,,,
D1,,,D3,D3.fcs,,,,
D1,,,D4,D4.fcs,,,,
D1,,,D5,D5.fcs,,,,
D1,,,D6,D6.fcs,,,,
D1,,,D7,D7.fcs,,,,
D1,,,D8,D8.fcs,,,,
D1,,,D9,D9.fcs,,,,
D1,,,D10,D10.fcs,,,,
D1,,,D11,D11.fcs,,,,
D1,,,D12,D12.fcs,,,,
D1,,,E1,E1.fcs,,,,
D1,,,E2,E2.fcs,,,,
D1,,,E3,E3.fcs,,,,
D1,,,E4,E4.fcs,,,,
D1,,,E5,E5.fcs,,,,
D1,,,E6,E6.fcs,,,,
D1,,,E7,E7.fcs,,,,
D1,,,E8,E8.fcs,,,,
D1,,,E9,E9.fcs,,,,
D1,,,E10,E10.fcs,,,,
D1,,,E11,E11.fcs,,,,
D1,,,E12,E12.fcs,,,,
D1,,,F1,F1.fcs,,,,
D1,,,F2,F2.fcs,,,,
D1,,,F3,F3.fcs,,,,
