Well,Sample_File,Construct,Replicate,DNA_Prep,DNA_Batch,Notes
A1,A1.fcs,,,,,
A2,A2.fcs,,,,,
A3,A3.fcs,,,,,
A4,A4.fcs,,,,,
A5,A5.fcs,,,,,
A6,A6.fcs,,,,,
A7,A7.fcs,,,,,
A8,A8.fcs,,,,,
A9,A9.fcs,,,,,
A10,A10.fcs,,,,,
A11,A11.fcs,,,,,
A12,A12.fcs,,,,,
B1,B1.fcs,,,,,
B2,B2.fcs,,,,,
B3,B3.fcs,,,,,
B4,B4.fcs,,,,,
B5,B5.fcs,,,,,
B6,B6.fcs,,,,,
B7,B7.fcs,,,,,
B8,B8.fcs,,,,,
B9,B9.fcs,,,,,
B10,B10.fcs,,,,,
B11,B11.fcs,,,,,
B12,B12.fcs,,,,,
C1,C1.fcs,,,,,
C2,C2.fcs,,,,,
C3,C3.fcs,,,,,
C4,C4.fcs,,,,,
C5,C5.fcs,,,,,
C6,C6.fcs,,,,,
C7,C7.fcs,,,,,
C8,C8.fcs,,,,,
C9,C9.fcs,,,,,
C10,C10.fcs,,,,,
C11,C11.fcs,,,,,
C12,C12.fcs,,,,,
D1,D1.fcs,,,,,
D2,D2.fcs,,,,,
D3,D3.fcs,,,,,
D4,D4.fcs,,,,,
D5,D5.fcs,,,,,
D6,D6.fcs,,,,,
D7,D7.fcs,,,,,
D8,D8.fcs,,,,,
D9,D9.fcs,,,,,
D10,D10.fcs,,,,,
D11,D11.fcs,,,,,
D12,D12.fcs,,,,,
E1,E1.fcs,,,,,
E2,E2.fcs,,,,,
E3,E3.fcs,,,,,
E4,E4.fcs,,,,,
E5,E5.fcs,,,,,
E6,E6.fcs,,,,,
E7,E7.fcs,,,,,
E8,E8.fcs,,,,,
E9,E9.fcs,,,,,
E10,E10.fcs,,,,,
E11,E11.fcs,,,,,
E12,E12.fcs,,,,,
F1,F1.fcs,,,,,
F2,F2.fcs,,,,,
F3,F3.fcs,,,,,
F4,F4.fcs,,,,,
F5,F5.fcs,,,,,
F6,F6.fcs,,,,,
F7,F7.fcs,,,,,
F8,F8.fcs,,,,,
F9,F9.fcs,,,,,
F10,F10.fcs,,,,,
F11,F11.fcs,,,,,
F12,F12.fcs,,,,,
G1,G1.fcs,,,,,
G2,G2.fcs,,,,,
G3,G3.fcs,,,,,
G4,G4.fcs,,,,,
G5,G5.fcs,,,,,
G6,G6.fcs,,,,,
G7,G7.fcs,,,,,
G8,G8.fcs,,,,,
G9,G9.fcs,,,,,
G10,G10.fcs,,,,,
G11,G11.fcs,,,,,
G12,G12.fcs,,,,,
H1,H1.fcs,,,,,
H2,H2.fcs,,,,,
H3,H3.fcs,,,,,
H4,H4.fcs,,,,,
H5,H5.fcs,,,,,
H6,H6.fcs,,,,,
H7,H7.fcs,,,,,
H8,H8.fcs,,,,,
H9,H9.fcs,,,,,
H10,H10.fcs,,,,,
H11,H11.fcs,,,,,
H12,H12.fcs,,,,,
